,国内生产总值_当季值(亿元),第一产业增加值_当季值(亿元),第二产业增加值_当季值(亿元),第三产业增加值_当季值(亿元),农林牧渔业增加值_当季值(亿元),工业增加值_当季值(亿元),建筑业增加值_当季值(亿元),批发和零售业增加值_当季值(亿元),交通运输、仓储和邮政业增加值_当季值(亿元),住宿和餐饮业增加值_当季值(亿元),金融业增加值_当季值(亿元),房地产业增加值_当季值(亿元),其他行业增加值_当季值(亿元)
2010年第二季度,99532.4,7975.1,47423.0,44134.3,8229.6,40838.4,6771.5,8645.7,4759.0,1768.8,6170.7,5692.9,16655.8
2010年第三季度,106238.7,11914.4,48907.2,45417.0,12231.9,41796.6,7302.0,9000.6,4853.6,1956.7,6506.1,5690.3,16900.8
2010年第四季度,119642.5,14528.2,55934.3,49180.0,14932.3,46902.2,9246.8,10000.6,4967.1,2171.7,6733.6,6835.0,17853.2
2011年第一季度,104641.3,5767.5,47195.0,51678.7,5979.6,42671.3,4749.0,9974.4,4870.8,1996.0,7788.8,6637.3,19974.0
2011年第二季度,119174.3,9426.5,56884.8,52863.1,9719.4,48965.4,8178.0,10533.6,5513.3,1961.9,7548.8,6913.7,19840.3
2011年第三季度,126981.6,14280.8,58623.5,54077.3,14639.0,49916.8,8970.4,11039.4,5686.0,2186.3,7571.1,6877.4,20095.3
2011年第四季度,138503.3,16688.3,64335.5,57479.5,17145.0,53589.4,11029.2,12183.1,5771.9,2421.2,7770.2,7739.2,20854.2
2012年第一季度,117593.9,6687.0,52317.4,58589.5,6921.7,47152.2,5426.7,11526.6,5289.3,2230.9,8826.0,7019.6,23200.9
2012年第二季度,131682.5,10279.8,61434.1,59968.6,10600.3,52496.9,9228.4,12013.8,6025.6,2181.6,8686.0,7526.3,22923.5
2012年第三季度,138622.2,15197.0,62257.3,61168.0,15602.8,52452.1,10096.0,12451.8,6119.5,2433.5,8787.7,7804.0,22874.8
2012年第四季度,152468.9,18738.5,68634.5,65095.9,19243.9,56804.4,12145.1,13838.8,6328.8,2690.9,8888.6,8898.4,23629.9
2013年第一季度,129747.0,7169.6,55862.3,66715.0,7427.6,50128.5,6022.1,12979.2,5824.4,2394.5,10381.2,8375.2,26214.3
2013年第二季度,143967.0,10842.3,65131.3,67993.4,11196.5,55267.2,10181.8,13511.0,6522.0,2341.1,10160.4,8676.2,26110.7
2013年第三季度,152905.3,16593.1,66750.0,69562.3,17049.6,55883.3,11188.0,14093.1,6763.1,2608.7,10293.8,8936.9,26088.9
2013年第四季度,168625.1,20724.1,74212.5,73688.5,21299.9,61058.6,13504.9,15700.8,6933.2,2884.0,10355.6,9999.2,26888.9
2014年第一季度,140618.3,7491.9,59221.5,73905.0,7776.7,52797.1,6687.1,14465.7,6321.6,2617.8,11755.9,8887.0,29309.5
2014年第二季度,156461.3,11653.4,69541.1,75266.8,12039.6,58607.6,11225.0,15080.2,7170.1,2561.0,11311.7,9181.0,29285.1
2014年第三季度,165711.9,17675.6,71024.7,77011.6,18185.1,59061.7,12257.7,15623.0,7398.1,2840.0,11567.3,9337.2,29441.9
2014年第四季度,181182.5,21522.7,77784.5,81875.3,22164.4,63389.9,14710.7,17254.6,7611.2,3139.6,12030.3,10595.7,30286.2
2015年第一季度,150986.7,7770.4,60724.7,82491.6,8079.7,53796.7,7176.3,15302.5,6822.2,2841.0,14452.2,9324.9,33191.2
2015年第二季度,168503.0,12486.7,71147.4,84868.9,12924.7,59734.4,11688.5,15939.6,7652.5,2780.4,14385.0,10257.1,33140.9
2015年第三季度,176710.4,18087.5,71665.3,86957.7,18645.9,59362.5,12577.4,16589.1,7897.9,3106.8,14407.9,10460.9,33662.0
2015年第四季度,192851.9,22517.5,78502.9,91831.6,23261.5,63612.6,15184.4,18355.5,8115.1,3425.5,14627.6,11658.1,34611.4
2016年第一季度,161572.7,8803.0,61325.0,91444.7,9153.0,54110.2,7465.0,16265.6,7284.0,3105.7,15777.7,10965.1,37446.4
2016年第二季度,180743.7,13293.7,73652.7,93797.3,13779.4,61490.1,12447.0,17038.1,8322.7,3037.5,15333.5,11788.6,37506.9
2016年第三季度,190529.5,18569.0,75556.9,96403.7,19184.0,62507.7,13338.2,17850.4,8658.9,3389.6,15472.5,12164.1,37964.1
2016年第四季度,211281.3,23005.0,85701.5,102574.8,23848.0,69752.1,16272.0,19959.3,9089.8,3748.0,15548.7,13214.9,39848.4
2017年第一季度,180682.7,8654.0,70004.5,102024.2,9041.0,61919.4,8360.8,17796.8,8105.4,3409.2,17213.5,12393.4,42443.1
