德芙,好时,费列罗,Meiji,歌帝梵,牛奶巧克力,夹心巧克力,黑巧克力,榛果,价格,销量,销量等级
0,0,0,0,0,1,0,0,0,19.9,50000.0,5级销量
1,0,0,0,0,0,1,0,0,9.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,21.9,10000.0,2级销量
0,0,1,0,0,0,0,0,1,139.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,58.5,50000.0,5级销量
0,0,0,0,0,1,1,0,0,62.0,500.0,1级销量
0,0,1,0,0,0,0,0,1,75.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,109.0,2000.0,1级销量
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,139.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,49.0,20000.0,3级销量
0,0,0,0,0,1,0,0,0,32.0,50000.0,5级销量
1,0,0,0,0,0,0,0,0,99.0,50000.0,5级销量
1,0,0,0,0,0,0,0,0,39.0,20000.0,3级销量
0,0,0,0,0,0,1,0,0,59.8,10000.0,2级销量
1,0,0,0,0,1,0,0,0,48.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,79.9,2000.0,1级销量
0,0,0,0,0,0,0,0,0,43.89,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,0,0,0,0,1,0,0,0,39.9,10000.0,2级销量
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,0,1,0,0,0,0,0,1,149.9,50000.0,5级销量
0,0,0,0,0,0,0,0,0,110.8,10000.0,2级销量
0,0,0,0,0,0,0,1,0,15.6,10000.0,2级销量
0,0,0,0,0,0,0,1,0,14.9,20000.0,3级销量
1,0,0,0,0,0,0,0,0,79.0,50000.0,5级销量
0,0,0,0,0,0,0,1,0,76.5,2000.0,1级销量
0,0,0,0,0,0,0,0,0,19.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,10000.0,2级销量
0,0,0,0,0,0,0,0,0,15.9,2000.0,1级销量
1,0,0,0,0,0,0,0,0,39.0,20000.0,3级销量
1,0,0,0,0,0,0,0,0,26.8,20000.0,3级销量
0,1,0,0,0,0,0,0,0,29.9,20000.0,3级销量
0,0,0,0,0,0,1,0,0,58.7,10000.0,2级销量
1,0,0,0,0,0,0,0,0,93.0,50000.0,5级销量
1,0,0,0,0,0,0,0,0,11.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,55.0,20000.0,3级销量
1,0,0,0,0,0,0,0,0,39.0,20000.0,3级销量
0,0,0,0,0,1,0,0,0,19.9,2000.0,1级销量
1,0,0,0,0,0,1,0,0,35.9,50000.0,5级销量
1,0,0,0,0,0,0,0,0,23.8,5000.0,2级销量
0,0,0,0,0,1,0,0,0,83.76,1000.0,1级销量
1,0,0,0,0,0,0,0,0,53.0,5000.0,2级销量
0,0,0,0,0,0,0,0,0,149.0,50000.0,5级销量
1,0,0,0,0,0,0,1,0,13.9,50000.0,5级销量
1,0,0,0,0,1,0,0,0,29.8,20000.0,3级销量
0,0,0,0,0,0,0,0,0,59.9,75.0,1级销量
1,0,0,0,0,0,0,0,0,19.8,100.0,1级销量
0,0,0,0,0,0,0,0,0,34.9,500.0,1级销量
0,0,0,0,1,0,0,1,0,55.0,2000.0,1级销量
0,0,0,0,0,0,0,0,0,49.9,5000.0,2级销量
1,0,0,0,0,0,0,1,0,21.8,2000.0,1级销量
1,0,0,0,0,1,0,0,0,24.8,5000.0,2级销量
1,0,1,0,0,0,0,0,0,68.0,20000.0,3级销量
1,0,0,0,0,1,0,0,0,5.9,50000.0,5级销量
0,0,0,0,0,0,1,0,0,30.9,50000.0,5级销量
0,0,0,0,0,0,0,0,1,7.49,50000.0,5级销量
0,0,0,0,0,0,0,1,0,23.9,5000.0,2级销量
0,0,0,0,0,0,0,1,0,109.0,20000.0,3级销量
0,0,0,0,0,0,1,0,0,29.9,10000.0,2级销量
0,0,0,0,0,1,0,0,0,31.9,500.0,1级销量
0,0,0,0,0,0,0,1,0,35.8,20000.0,3级销量
0,0,0,0,0,1,0,0,0,19.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,9.9,200.0,1级销量
0,0,0,0,0,0,1,0,0,27.9,5000.0,2级销量
0,0,0,0,0,0,0,0,0,79.0,10000.0,2级销量
1,0,0,0,0,0,0,0,0,36.0,100.0,1级销量
0,0,0,1,0,1,0,0,0,39.9,20000.0,3级销量
0,0,0,0,0,0,0,0,0,49.9,2000.0,1级销量
1,0,0,0,0,0,0,0,0,119.0,50000.0,5级销量
0,1,0,0,0,0,0,0,0,58.0,10000.0,2级销量
1,0,0,0,0,0,0,0,0,45.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,19.9,50000.0,5级销量
0,0,0,0,0,0,0,1,0,49.9,50000.0,5级销量
