dataset
1317
1820
3116
2111
1307
679
888
2650
3670
6261
1746
2261
1617
1781
1526
1299
1099
1801
731
2955
2610
1518
3352
2658
2982
2542
12560
23618
12155
6919
5113
5919
3457
10717
4477
2040
2663
3782
2112
2624
2243
1899
4261
2155
3724
2584
1839
3034
2335
1734
2595
3374
2494
6983
8932
3467
11081
8484
4780
3510
6353
4195
2813
5463
9732
5735
5040
2471
2325
2659
2320
2755
4036
2307
1841
3170
2208
1676
2737
2740
1916
3067
1182
2136
3670
1855
1928
2331
2280
1701
1319
2224
3908
2676
1873
1908
2956
3840
3058
2889
2303
2641
0
0
0
2899
2329
1589
1254
0
1941
1546
2823
3053
3347
1693
1462
1465
2479
2056
2078
2291
1989
2916
5416
3277
3425
2927
3835
4105
3010
5620
5103
3170
3604
4369
2875
4568
2215
3370
2280
2826
1587
1635
1516
1602
1706
2296
2174
1684
1116
2569
1260
966
1075
629
619
907
1203
1988
1587
2345
1042
2558
2056
1068
1045
1844
1836
2850
3297
1732
1864
1332
1464
1177
2144
2074
2085
2543
1581
1608
1532
1552
3191
1440
1404
1391
3237
3692
3194
5072
4793
12134
26129
16385
11545
9872
19527
11738
26557
24596
12029
12710
7195
15702
12562
10342
7176
14695
24375
12495
10220
14030
10571
11288
11803
10732
4855
4275
3489
4157
6172
3646
3395
7447
3805
4671
4167
3792
3456
4308
4297
6623
4817
2463
5767
3228
2275
4211
3567
4307
3179
2446
4888
5830
8586
10449
5778
4195
5176
2593
3506
5829
4750
4983
5325
6401
4109
8594
8240
7117
8388
6356
5823
4258
6174
6340
8766
10726
10254
5789
9421
3467
3072
1895
4086
6362
6955
7012
6436
6215
9458
5777
9791
5066
3770
4021
5304
7282
4672
3291
2932
3541
3276
3250
4218
8046
2445
2981
2812
2350
2296
2282
6558
5286
9278
8380
7429
4023
2357
4908
2934
4089
2319
3782
1831
2150
1767
2002
2192
2032
2285
2799
2091
2169
1381
1354
1010
1463
1530
1540
2064
2228
2544
1391
1888
1600
1966
1318
1364
1851
1986
1141
1120
961
1752
1628
2031
1143
1153
1363
1405
3094
5671
1592
1461
1041
1111
718
973
910
858
1094
897
654
1973
884
534
629
659
786
426
512
769
536
954
1033
1181
1488
1079
973
851
1395
997
1964
1633
834
1295
1043
864
1050
638
686
535
674
926
788
688
649
519
694
553
758
652
475
592
603
1319
841
912
812
634
1100
1345
711
995
629
614
952
992
549
831
751
1288
1010
1200
1523
792
647
1765
1229
1508
804
924
777
1434
1637
1045
680
874
645
879
781
711
1221
2436
2492
2401
1915
1552
913
742
1184
1219
1039
3571
2598
1923
616
789
1253
597
414
488
717
560
1156
607
462
713
300
511
416
400
1057
1167
734
549
493
498
673
462
569
395
650
605
783
620
701
587
721
835
580
474
444
480
377
559
777
541
375
415
581
1547
1938
1433
1075
1663
1010
931
1047
1445
1228
783
1277
1648
1108
1238
1316
4111
3627
2371
1328
1831
2941
2967
5900
3415
3709
0
12449
10598
6575
9293
7074
3216
3455
4104
4174
4163
6103
2374
3211
6595
7771
4884
0
0
23898
14449
10341
9755
10372
18776
13277
10071
7745
5427
7867
17363
11460
8819
8566
12513
7983
3821
3763
9078
10101
12304
6916
4957
4047
4241
4864
4119
3075
6640
4596
9784
5251
4223
5509
3893
4586
10071
4989
2855
4851
3322
3226
3000
2544
2169
8298
3929
5871
5525
6229
4539
6179
6602
6789
4072
3758
2755
1720
3589
3327
2495
2657
2158
2403
2078
5355
3642
3606
3040
2697
3911
9638
12066
6885
5307
4534
3074
4323
5647
12129
18426
10299
5541
5115
4518
4715
5532
3377
7536
6660
8646
4333
3783
5200
4384
2533
3480
4484
3415
3741
4265
6185
4681
4846
3316
4310
3622
6195
4712
2569
1984
3744
4646
2141
3056
2593
