,KO
1982-07-30,0.085185
1982-08-31,0.075085
1982-09-30,0.050667
1982-10-29,0.07362
1982-11-30,0.1456
1982-12-31,0.050505
1983-01-31,-0.033654
1983-02-28,-0.00995
1983-03-31,0.088844
1983-04-29,0.03972
1983-05-31,-0.067416
1983-06-30,-0.025639
1983-07-29,-0.072682
1983-08-31,0.113514
1983-09-30,0.000874
1983-10-31,0.02457
1983-11-30,0.072806
1983-12-30,-0.031674
1984-01-31,-0.051402
1984-02-29,0.022167
1984-03-30,0.071133
1984-04-30,0.0
1984-05-31,0.002278
1984-06-29,0.060273
1984-07-31,0.032538
1984-08-31,0.039916
1984-09-28,0.023273
1984-10-31,0.037924
1984-11-30,-0.037462
1984-12-31,0.008081
1985-01-31,-0.038076
1985-02-28,0.058333
1985-03-29,0.114016
1985-04-30,-0.021429
1985-05-31,-0.009124
1985-06-28,0.033002
1985-07-31,0.041441
1985-08-30,-0.008651
1985-09-30,-0.015846
1985-10-31,0.026882
1985-11-29,0.172635
1985-12-31,0.015015
1986-01-31,-0.007396
1986-02-28,0.147541
1986-03-31,0.10161
1986-04-30,0.059382
1986-05-30,0.040359
1986-06-30,0.088621
1986-07-31,-0.064741
1986-08-29,-0.031949
1986-09-30,-0.098746
1986-10-31,0.081181
1986-11-28,0.003686
1986-12-31,0.034247
1987-01-30,0.129139
1987-02-27,0.052786
1987-03-31,0.025738
1987-04-30,-0.068306
1987-05-29,0.005865
1987-06-30,0.044431
1987-07-31,0.070225
1987-08-31,0.062992
1987-09-30,-0.038914
1987-10-30,-0.147287
1987-11-30,-0.096242
1987-12-31,0.030405
1988-01-29,0.005763
1988-02-29,-0.006645
1988-03-31,0.031438
1988-04-29,0.0
1988-05-31,-0.006536
1988-06-30,0.034211
1988-07-29,-0.016026
1988-08-31,0.042345
1988-09-30,0.10125
1988-10-31,-0.014286
1988-11-30,0.012754
1988-12-30,0.028818
1989-01-31,0.047619
1989-02-28,0.02139
1989-03-31,0.080419
1989-04-28,0.058537
1989-05-31,0.064516
1989-06-30,-0.017922
1989-07-31,0.206208
1989-08-31,-0.022059
1989-09-29,0.012632
1989-10-31,0.080224
1989-11-30,0.072055
1989-12-29,0.0
1990-01-31,-0.108414
1990-02-28,0.023593
1990-03-30,0.065957
1990-04-30,0.020067
1990-05-31,0.183607
1990-06-29,-0.012188
1990-07-31,0.022535
1990-08-31,-0.068871
1990-09-28,-0.060355
1990-10-31,0.136076
1990-11-30,0.035097
1990-12-31,0.005405
1991-01-31,0.048387
1991-02-28,0.074359
1991-03-28,0.040382
1991-04-30,-0.02765
1991-05-31,0.085308
1991-06-28,-0.043843
1991-07-31,0.103211
1991-08-30,0.093555
1991-09-30,-0.015361
1991-10-31,0.032946
1991-11-29,0.044878
1991-12-31,0.156757
1992-01-31,-0.034268
1992-02-28,0.054839
1992-03-31,0.003425
1992-04-30,0.015291
1992-05-29,0.060241
1992-06-30,-0.087727
1992-07-31,0.046875
1992-08-31,0.026866
1992-09-30,-0.054884
1992-10-30,0.003086
1992-11-30,-0.018092
1992-12-31,0.053459
1993-01-29,0.01194
1993-02-26,0.0
1993-03-31,0.009912
1993-04-30,-0.076246
1993-05-28,0.053968
1993-06-30,0.040241
1993-07-30,0.005814
1993-08-31,0.00289
1993-09-30,-0.022017
1993-10-29,0.026627
1993-11-30,-0.027781
1993-12-31,0.0625
1994-01-31,-0.084034
1994-02-28,0.042813
1994-03-31,-0.042346
1994-04-29,0.027692
1994-05-31,-0.035928
1994-06-30,0.014161
1994-07-29,0.092308
1994-08-31,0.03662
1994-09-30,0.061304
1994-10-31,0.03599
1994-11-30,0.018759
1994-12-30,0.007335
1995-01-31,0.019417
1995-02-28,0.047619
1995-03-31,0.029
